DATA;INSAP.;C12;C14;C14:1;C15;C16;C16:1;C17;C18;C18:1;C18:2;C18:3;C20;C20:1;C22;TOT;C18-1-2-3;TOT INSAT.;Y;R;N IODIO;ACIDITA';GreenOleo
14/11/2014;0.5;0.7;1;0;0.2;6;5;0.1;2;67;15;1;0.2;0;0.1;98.8;83;88;9.4;1.1;100;200;1
26/11/2014;0.5;0.1;1;0;0.1;6;4;0.6;2;69;15;2;0.1;0.1;0.1;100.6;86;90.1;11;1.2;100;199;1
04/12/2014;0.5;0.3;2;0;0.2;6;5;0.6;2;68;15;1;0.3;0.1;0.1;101.1;84;89.1;8.6;0.7;99;200;1
22/12/2014;0.7;0.2;1;0.1;0.3;6;4;0.7;2;68;15;2;0.1;0.2;0.2;100.5;85;89.3;11;1.2;99;199;1
02/01/2015;0.5;0.1;1;0;0.1;6;4;0.5;2;68;15;2;0.1;0.1;0.1;99.5;85;89.1;7.8;0.8;100;199;1
14/01/2015;0.5;0.2;1;0;0.2;6;4;0.6;2;68;15;1;0.1;0.3;0.1;99;84;88.3;9.9;1.1;99;199;1
27/01/2015;0.6;0.2;1;0;0.5;6;4;0.9;2;68;15;1;0.5;0.2;0.1;100;84;88.2;9.3;1;99;199;1
16/02/2015;0.5;0.1;1;0;0.2;6;4;0.7;2;68;15;2;0.2;0.2;0.1;100;85;89.2;7.6;0.8;100;199;1
05/03/2015;0.5;1;2;0.2;0.2;5;4;0.8;2;68;15;1;0.4;0.4;0.1;100.6;84;88.6;7.7;0.8;98;202;1
12/03/2015;0.5;0.1;1;0.1;0.2;6;4;0.2;2;71;14;2;0.1;0.3;0.1;101.6;87;91.4;6.8;0.8;99;200;1
25/03/2015;0.5;0.2;1;0.1;0.2;5;4;0.7;1;71;14;2;0.2;0;0;99.9;87;91.1;9.3;1.1;99;199;1
02/04/2015;0.5;0.3;1;0.1;0.2;6;5;0.9;2;69;13;1;0.2;0;0;99.2;83;88.1;9.2;1.4;97;200;1
22/04/2015;0.5;0.1;1;0.1;0.3;5;5;0.9;1;68;14;1;0.1;0.2;0.2;97.4;83;88.3;8.6;1.3;98;201;1
29/04/2015;0.5;1;1;0.2;0.2;5;5;0.9;2;67;15;1;0.5;0.2;0.1;99.6;83;88.4;6.7;0.7;100;201;1
18/05/2015;0.5;0.2;1;0.2;0.3;5;5;0.7;2;69;14;2;0.4;0;0;100.3;85;90.2;8.6;0.9;100;199;1
22/05/2015;0.8;0.1;1;0.1;0.3;5;5;0.7;2;69;14;2;0.1;0.5;0.1;100.7;85;90.6;7.7;0.9;98;200;1
01/06/2015;0.5;0.2;1;0;0.3;5;5;0.7;2;70;13;0;0.1;1.5;0.1;99.4;83;89.5;9.4;1;98;199;1
12/06/2015;0.5;0.1;1;0.1;0.3;5;4;0.7;2;70;13;2;0.1;1.2;0.1;100.1;85;90.3;7.9;0.6;99;199;1
29/06/2015;0.5;0.1;1;0;0.3;6;4;0.6;2;69;15;2;0.1;0.2;0.1;100.9;86;90.2;9.4;0.9;99;199;1
09/07/2015;0.5;0.8;1;0;0;5;4;0.7;2;69;15;0;0.1;1.6;0.1;99.8;84;89.6;9.6;1.1;100;200;1
16/07/2015;0.5;0.2;1;0.3;0.1;6;5;0.7;2;70;15;2;0.1;0.2;0.2;103.3;87;92.5;9.1;1;100;200;1
24/08/2015;0.5;0.2;2;0.1;0.3;6;5;0.6;2;69;15;2;0.1;0.2;0.1;103.1;86;91.3;14;1.5;99;199;1
14/09/2015;0.5;0.1;1;0.1;0.2;5;5;0.7;2;69;14;1;0.1;0.6;0.2;99.5;84;89.7;7.9;0.8;99;200;1
21/09/2015;0.5;0.4;2;0.5;0.2;6;5;0.7;2;68;14;2;0.3;0.5;0.3;102.4;84;90;8.6;0.8;98;201;1
05/10/2015;0.5;0.1;1;0.1;0.2;5;5;0.6;2;69;14;1;0.1;1;0.1;99.7;84;90.1;9.1;0.9;100;200;1
13/10/2015;0.5;0.3;1;0.1;0.2;6;5;0.7;2;69;14;1;0.2;0;0;100;84;89.1;7.3;0.6;98;199;1
21/10/2015;0.6;0.2;1;0.3;0.5;6;5;0.7;2;70;13;2;0.1;0.1;0.1;101.6;85;90.4;9.5;1.1;97;201;1
23/11/2015;0.5;0.2;1;0.1;0.2;5;4;0.6;1;70;14;2;0.2;0.8;0.1;99.7;86;90.9;9.9;0.9;100;199;1
30/11/2015;0.6;0.7;1;0.1;0.1;6;4;0.6;2;70;15;2;0.2;0.1;0;102.4;87;91.2;7.2;0.8;100;201;1
22/12/2015;0.5;0.2;1;0.1;0.2;5;5;0.7;2;69;14;2;0.3;0.2;0;100.2;85;90.3;7.9;0.8;99;200;1
07/01/2016;0.5;0.1;1;0;0.1;6;4;0.6;2;72;14;1;0.3;0;0.2;101.8;87;91;7.3;0.6;99;200;1
25/01/2016;0.5;0.1;1;0;0.2;5;4;0.7;2;70;14;2;0.1;0;0.2;99.8;86;90;7.2;0.5;100;200;1
09/02/2016;0.6;0.2;2;0.2;0.3;5;5;0.8;2;70;13;2;0.1;0.2;0.1;101.5;85;90.4;8.2;0.9;97;199;1
17/02/2016;0.6;0.8;1;0.2;0.2;5;4;0.3;2;69;14;2;0.2;0.2;0.3;99.8;85;89.4;7.8;0.8;97;199;1
07/03/2016;0.5;0.1;1;0;0.2;5;4;0.6;2;70;14;1;0.2;1;0.2;99.8;85;90;7.8;0.7;99;199;1
24/03/2016;0.6;0.2;1.3;0.2;0.1;5.4;4.5;0.1;1.5;69;14.2;1.6;0.1;0.1;0.1;99;84.8;89.6;8.4;0.7;99.5;200.1;1
31/03/2016;0.5;0.9;1.4;0;0.2;5.1;4.3;0.6;1.5;70.7;13.1;1.5;0.1;0.2;0.2;100.3;85.3;89.8;8.6;0.8;98.7;199.4;1
14/04/2016;0.51;0.1;1;0;0;5.1;4.6;0.6;1.4;70.3;13.8;1.8;0.1;0;0.1;99.41;85.9;90.5;1.3;0.2;99.9;200;1
02/05/2016;0.5;0.3;1;0.1;0.2;5;4;0.7;2;70;14;2;0.3;0.5;0.1;100.7;86;90.6;8.9;0.8;100;199;1
09/05/2016;0.6;0.1;1;0;0.2;5;4;0.6;2;70;14;2;0.3;0.1;0;99.9;86;90.1;8.6;0.7;100;199;1
19/05/2016;0.6;0.1;1;0;0.3;5;4;0.7;2;69;15;1;0.2;0.8;0.1;99.8;85;89.8;8.3;0.6;99;200;1
31/05/2016;0.5;0.2;2;0.1;0.5;5;4;0.6;1;71;15;1;0.1;0;0.1;101.1;87;91.1;10;1.1;100;200;1
21/06/2016;0.6;0.2;1;0;0.2;5;4;0.6;2;72;13;0;0.2;0.2;0;99;85;89.2;9.8;0.9;99;200;1
30/06/2016;0.6;0.2;1;0.1;0.2;5;4;0.5;2;70;14;1;0.2;0.2;0.2;99.2;85;89.3;6.3;0.6;99;201;1
15/07/2016;0.5;0.1;1;0.1;0.3;5;4;0.6;2;70;14;2;0.2;0.2;0.2;100.2;86;90.3;5.1;0.6;100;200;1
22/08/2016;0.7;0.1;1;0.1;0.3;5;4;0.6;2;71;14;1;0.1;0;0.2;100.1;86;90.1;9.6;1.2;99;200;1
29/08/2016;0.6;0.2;2;0.3;0.2;6;5;0.1;2;69;13;2;0.1;0.1;0.1;100.7;84;89.4;7.7;0.8;99;200;1
12/09/2016;0.7;0;1;0.3;0.1;5;4;0.7;1;73;12;0;0.1;1.4;0;99.3;85;90.7;9.5;0.9;99;199;1
19/09/2016;0.5;0.2;1;0.2;0.2;6;4;0.5;2;70;14;1;0.2;0.5;0.1;100.4;85;89.7;8.1;0.7;99;199;1
03/10/2016;0.6;0.1;1;0.1;0.2;5;4;0.1;2;71;13;2;0.1;0.1;0.2;99.5;86;90.2;7.6;0.7;99;199;1
10/10/2016;0.5;0.2;1;0;0.1;6;4;0.6;2;70;14;1;0.2;1;0.1;100.7;85;90;9.3;0.9;100;200;1
20/10/2016;0.6;0.1;1;0.3;0.1;5;5;0.2;2;69;14;1;0.1;0.2;0.1;98.7;84;89.5;7.8;0.4;100;199;1
28/10/2016;0.6;0.1;1;0.2;0.3;6;4;0.6;2;71;14;0;0.2;0.1;0.1;100.2;85;89.3;9;0.8;100;200;1
07/11/2016;0.6;1;2;0.3;0.1;5;4;0.6;2;70;14;2;0.3;0.2;0;102.1;86;90.5;8.2;0.8;99;201;1
14/11/2016;0.9;0.8;2;0.3;0.1;6;4;0.1;1;69;15;1;0.1;0.2;0.2;100.7;85;89.5;8.8;0.9;98;200;1
21/11/2016;0.6;0.1;1;0.1;0.4;6;4;0.6;1;71;15;0;0.2;0.1;0.1;100.2;86;90.2;7.7;0.8;100;199;1
28/11/2016;0.6;0;1;0.1;0.2;6;4;0.8;2;70;13;1;0.2;1;0.2;100.1;84;89.1;9.5;0.8;99;200;1
12/12/2016;0.5;1;2;0.1;0.3;6;4;0.1;2;70;12;1;0.1;0.7;0.1;99.9;83;87.8;7.3;0.6;96;199;1
21/12/2016;0.6;0.1;1;0.2;0.3;5;4;0.3;2;72;13;0;0.1;0.2;0.1;98.9;85;89.4;6.8;0.6;100;199;1
02/01/2017;0.5;0.1;1;0;0.1;6;4;0.6;2;71;13;1;0.2;1.4;0.2;101.1;85;90.4;8.9;0.9;99;200;1
16/01/2017;0.5;0.2;1;0;0.1;6;4;0.8;2;69;15;1;0.5;0.2;0;100.3;85;89.2;6;0.5;99;200;1
23/01/2017;0.6;0.2;2;0.5;0.1;5;5;0.2;2;70;13;1;0.1;0.2;0.1;100;84;89.7;9;0.8;98;199;1
07/02/2017;0.6;0.1;1;0.1;0.1;5;4;0.8;2;70;13;1;0.2;0.8;0.1;98.8;84;88.9;7.8;0.5;100;201;1
16/02/2017;0.6;0.1;1;0.1;0.1;5;4;0.1;2;71;14;2;0.1;0.1;0.1;100.3;87;91.2;6;0.5;100;200;1
28/02/2017;0.7;0.1;1;0.2;0.1;6;3;0.1;2;70;14;1;0.1;0.8;0.1;99.2;85;89;8.7;0.8;100;200;1
20/03/2017;0.6;0.6;1;0.1;0.2;5;4;0.8;2;70;13;1;0.2;0.8;0.1;99.4;84;88.9;7.8;0.7;98;199;1
30/03/2017;0.6;0.1;1;0.1;0.1;5;3;0.6;2;69;15;1;0.1;0.8;0.1;98.5;85;88.9;7.5;0.7;100;199;1
05/04/2017;0.4;0;1;0.1;0.2;5;4;0.6;2;71;14;1;0.1;0.6;0.1;100.1;86;90.7;8;0.4;98;199;1
18/04/2017;0.6;0;1;0.1;0;3;3;0.1;2;74;15;1;0.1;1.2;0.3;101.4;90;94.3;7.5;0.5;100;200;1
27/04/2017;0.7;1;1;0.2;0.1;5;4;0.1;2;69;15;1;0.1;0.2;0.2;99.6;85;89.4;8.5;0.7;100;199;1
09/05/2017;0.7;0.1;1;0.2;0.3;5;4;0.6;2;71;13;1;0.2;0.2;0.1;99.4;85;89.4;11;1;99;200;1
17/05/2017;0.6;0;1;0.1;0.2;5;4;0.7;2;73;13;1;0.5;1;0.1;102.2;87;92.1;11;0.9;99;199;1
31/05/2017;0.6;0.1;1;0.3;0.1;5;4;0.1;2;71;15;1;0.1;0.7;0.1;101.1;87;92;10;1;100;199;1
06/06/2017;0.5;0.6;1;0.1;0.3;5;4;0.5;2;70;14;1;0.1;0.7;0.1;99.9;85;89.8;8;0.7;100;200;1
22/06/2017;0.6;0.1;1;0.1;0.2;6;4;0.5;2;71;14;1;0.2;1;0.2;101.9;86;91.1;9.9;1.1;99;200;1
06/07/2017;0.6;0.7;1;0.1;0.3;5;4;0.6;2;68;15;1;0.1;0.1;0.1;98.6;84;88.2;12;1.3;99;200;1
13/07/2017;0.7;0.9;1;0.1;0.2;5;3;0.5;2;69;15;1;0.1;0.1;0.3;98.9;85;88.2;12;1.3;99;201;1
24/08/2017;0.9;0.6;1;0.3;0.1;5;4;0.6;2;70;14;2;0.1;0.1;0.1;100.8;86;90.4;12;1.2;100;200;1
04/09/2017;0.7;0.2;2;0.2;0.1;5;4;0.1;2;71;13;1;0.1;0.1;0.1;99.6;85;89.3;11;1.2;99;200;1
21/09/2017;0.7;1;1;0.2;0.2;5;4;0.1;1;73;12;1;0.2;0.2;0.1;99.7;86;90.4;7.2;0.4;98;200;1
27/09/2017;0.7;0.3;1;0.1;0.2;5;5;0.8;2;71;13;1;0.3;1;0.1;101.5;85;91.1;7.5;0.8;99;200;1
18/10/2017;0.6;0;1;0.1;0.2;5;4;0.9;2;71;13;1;0.5;0.7;0.1;100.1;85;89.8;7.4;0.8;99;200;1
07/11/2017;0.7;0.1;1;0.1;0.5;5;4;0.8;1;70;14;1;0.1;1;0.1;99.4;85;90.1;8.4;0.9;99;200;1
05/12/2017;0.6;0.2;0.5;0.1;0;4.7;3.5;0.3;1.9;72.8;12.5;0.4;0.2;0.8;0.3;98.8;85.7;90.1;14;1.5;95.5;199.2;0
03/01/2018;0.5;0;1;0.2;0.1;5.3;4.1;0.3;1.6;68.2;14.8;1;0.2;1.2;0.1;98.6;84;89.5;7.2;0.8;99;199.5;0
10/01/2018;0.34;0;0.7;0.1;0.1;5.2;4;0.6;1.6;68.4;14.4;0.6;0.1;1.3;0.2;97.64;83.4;88.8;9;0.9;99.6;199.3;0
18/01/2018;0.5;0;0.4;0;0;5.2;3.6;0.5;1.8;69.9;14.9;0.7;0.1;1.3;0.1;99;85.5;90.4;12;1.1;99;200.7;0
01/02/2018;0.34;0;1.1;0.2;0.1;5.3;4.2;0.6;1.6;67.6;14.8;1;0.1;1.4;0.1;98.44;83.4;89.2;9.3;1.1;98.8;199.3;0
14/02/2018;0.34;0;0.2;0;0;4.7;3.4;0.4;1.8;72.2;13.5;1;0.3;0.8;0.3;98.94;86.7;90.9;13;1.3;99.3;199.2;0
23/02/2018;0.34;0;0.2;0;0;4.6;3;0.5;1.9;72.3;13.1;0.9;0.1;1.4;0.5;98.84;86.3;90.7;11;1.2;98;199.5;0
05/03/2018;0.34;0.1;0.3;0;0.1;5.8;3.5;0.6;1.9;72.3;12.7;0.6;0.4;0.3;0;98.94;85.6;89.4;10;1.1;99.2;200.3;0
23/03/2018;0.5;0;0.7;0.1;0.1;5.4;3.7;0.6;1.8;70.1;12.5;1;0.1;1.3;0.1;98;83.6;88.7;10;1.2;98.3;200;0
11/04/2018;0.7;0.6;1;0;0;5;4;0.1;1;71;14;1;0.1;0.4;0.1;99;86;90.4;7.5;0.7;99;200;1
18/04/2018;0.7;0.8;1;0.3;0.2;5;5;0.6;2;70;14;0.8;0.1;0.4;0.1;101;84.8;90.5;7.5;0.7;99;200;1
03/05/2018;0.7;0.1;2;0.5;0.3;5;5;1;2;70;13;1;0.3;0.3;0.1;101.3;84;89.8;5.4;0.5;98;201;1
10/05/2018;0.7;0.1;1;0.1;0.2;5;5;0.2;2;72;13;1;0.1;0.1;0.1;100.6;86;91.2;5.9;0.5;98;201;1
23/05/2018;0.7;1;1;0.1;0.1;5;4;0.6;2;69;14;2;0.1;0.3;0;99.9;85;89.4;5.4;0.8;100;200;1
05/06/2018;0.8;1;1;0.2;0.2;5;4;0.1;2;70;15;1;0.1;0.2;0.1;100.7;86;90.4;6.2;0.6;100;200;1
18/06/2018;0.5;0.9;2;0.2;0.3;5;4;0.1;2;68;15;1;0.1;0.8;0.1;100;84;89;4.6;0.8;100;201;1
25/06/2018;0.6;1;1;0.2;0.2;5;5;0.2;2;70;14;1;0.2;0.9;0.2;101.5;85;91.1;6.3;0.6;100;201;1
09/07/2018;1.3;0.4;2;0.1;0.1;6;4;0.2;2;65;15;2;0.2;0.1;0;98.4;82;86.2;8.1;1;99;202;1
16/07/2018;1.1;0.5;1;0.1;0.3;5;5;0.2;2;68;15;2;0;0.1;0.1;100.4;85;90.2;7.9;1;100;201;1
28/08/2018;0.6;0.1;1;0;0.2;5;5;0.7;1;70;14;1;0.5;0.2;0.1;99.4;85;90.2;9.7;1.1;99;200;1
13/09/2018;0.6;0.2;2;0.2;0.2;5;5;0.7;2;68;13;2;0.3;0.1;0.1;99.4;83;88.3;6.8;0.7;100;200;1
27/09/2018;0.6;0.2;2;0.1;0.1;5;5;0.6;2;70;14;2;0;0.1;1;102.7;86;91.2;9.9;0.9;99;199;1
05/10/2018;0.6;0.1;1;0.3;0.1;6;5;0.7;2;69;15;1;0.2;0.4;0.1;101.5;85;90.7;8.6;0.7;100;200;1
19/10/2018;0;0.1;1;0.2;0.1;5;4;0.7;2;70;13;1;0.1;0.8;0.1;98.1;84;89;11;1.2;99;201;1
26/10/2018;0.6;0.6;1;0.1;0.1;5;4;0.6;2;69;15;1;0.2;1;0;100.2;85;90.1;6.2;0.6;99;200;1
15/11/2018;0.7;0.5;1;0.1;0.1;5;5;0.7;2;69;15;1;0.2;1;0.2;101.5;85;91.1;7.5;0.8;100;201;1
28/11/2018;0.7;0.7;1;0.1;0.2;5;3;0.7;2;71;15;1;0.2;0.8;0.2;101.6;87;90.9;7.5;0.8;99;201;1
05/12/2018;0.34;0;0.9;0.1;0.1;5.6;4.2;0.6;1.8;68.8;13.8;0.8;0.4;0.3;0;97.74;83.4;88;15;1.4;98.7;199.2;0
11/12/2018;0.6;0.8;1;0;0.4;5;4;0.7;2;69;14;1;0.1;0.7;0.2;99.5;84;88.7;8.3;0.8;100;200;1
10/01/2019;0.6;0.1;1;0;0.1;5;4;0.6;1;69;15;1;0.1;1.3;0.1;98.9;85;90.3;7.4;0.6;100;200;1
18/01/2019;0.6;1;1;0.2;0.2;5;4;0.8;2;69;15;1;0.3;1.1;0;101.2;85;90.3;7;0.7;99;201;1
05/02/2019;0.6;0;1;0;0;5;4;0.7;2;71;14;1;0.1;0.8;0;100.2;86;90.8;5.8;0.6;100;199;1
22/02/2019;0.7;0.6;1;0;0.1;5;4;0.7;1;73;13;0;0.3;0.4;0;99.8;86;90.4;5;0.5;99;203;1
04/03/2019;0.8;0.9;1;0;0.1;5;4;0;1;71;14;2;0.2;0.1;0;100.1;87;91.1;5.2;0.5;100;199;1
21/03/2019;0.34;0;0.6;0;0;5.9;3.8;0.6;1.8;70;14.8;0.7;0;1.5;0;100.04;85.5;90.8;11;1;99.7;199.3;0
09/04/2019;0.5;0;0.8;0;0.1;5.6;4.1;0.6;1.8;68.8;13.7;0.9;0.1;1.4;0.2;98.6;83.4;88.9;11;1.3;98.2;199.5;0
24/04/2019;0.34;0;0.7;0.1;0;5.5;3.4;0.5;1.6;69.7;14.7;0.7;0;1.5;0.1;98.84;85.1;90.1;8.6;1.1;99.5;199.7;0
09/05/2019;0;0.2;1;0.1;0.1;5;4;0;1;71;14;2;0.1;0.7;0;99.2;87;91.8;7;0.6;99;200;1
21/05/2019;0.8;0.6;1;0.1;0.1;5;4;0.1;1;72;14;2;0.1;0.8;0;101.6;88;92.9;6.2;0.5;100;200;1
05/06/2019;0.8;0.1;1;0.2;0.1;5;4;0.1;2;71;14;1;0.1;0.2;0;99.6;86;90.4;6.6;0.8;100;200;1
20/06/2019;0.6;0.1;1;0.1;0.2;5;4;0.1;2;70;15;2;0.1;0.6;0;100.8;87;91.7;8.1;0.6;100;199;1
04/07/2019;0.7;0;1.2;0.3;0.2;5.2;5;0.7;1.3;67.1;14.5;0.9;0.1;1.2;0.3;98.7;82.5;89;8.8;1;99.8;199.8;0
16/07/2019;0.34;0;1.4;0;0.1;5.9;4.7;0.7;2;67.4;14.3;1.1;0.5;0.4;0.2;99.04;82.8;87.9;15;1.4;100;201.8;0
30/08/2019;0.34;0;0.4;0;0.1;5.4;4.9;0.7;1.8;69.4;14.1;1.1;0.2;1.1;0.1;99.64;84.6;90.6;7.4;0.7;99.2;200.4;0
13/09/2019;0.61;0;1.1;0;0;5.6;4.2;0.5;1.6;69.7;14.7;0.5;0.3;0.9;0;99.71;84.9;90;14;1.4;99.4;199.7;0
17/09/2019;0.34;0;0.6;0;0;5.3;3;0.4;1.4;71.5;15;0.5;0.3;1.2;0;99.54;87;91.2;15;1.5;99.4;200.3;0
03/10/2019;0.34;0;0.9;0.1;0.1;5.4;4.3;0.6;1.7;67.2;14.6;0.8;0.3;1.2;0.3;97.84;82.6;88.2;14;1.5;99.3;199.1;0
21/10/2019;0.7;0;0.2;0;0.1;5.3;4.6;0.6;1.7;67.7;15;0.8;0.2;1.3;0.1;98.3;83.5;89.4;8.7;0.7;99;200.1;0
07/11/2019;0.34;1.2;0;0.2;0.2;5.5;5.2;0.7;1.7;67.9;13.2;0.7;0.3;0.1;0;97.24;81.8;87.3;1.9;0.5;95.1;199.5;0
22/11/2019;0.7;0;0.5;0.1;0.1;5.3;4.7;0.7;1.7;68.3;14.6;0.8;0.2;1.2;0;98.9;83.7;89.7;14;1.5;98;200;0
03/12/2019;0.34;0;0.6;0.1;0.1;5.7;5;0.4;1.9;68;14;0.7;0.2;1.1;0.1;98.24;82.7;88.9;12;1.3;99;200;0
18/12/2019;0.34;0;0.3;0;0.1;5.4;4;0.6;1.9;68.7;13.8;0.7;0.2;1.2;0;97.24;83.2;88.4;10;1;98.9;199.1;0
03/01/2020;0.7;0;0.3;0;0.1;5.5;4.1;0.6;1.8;69.6;14.5;0.9;0.2;1.1;0;99.4;85;90.2;13;1.5;99;199.1;0
14/01/2020;0.34;0;0.6;0.1;0.1;5.7;4.2;0.2;1.8;67.9;13;0.6;0.2;1.2;0;95.94;81.5;87;9.8;1;98.3;199.4;0
